seller_id,seller_name
7aa4334be125fcdd2ba64b3180029f14,Pedro Campos
4be9ae93c4fc0f41713d71a4194ee1b3,Carlos Eduardo Machado
55a5b51f93f2b70ea513f5a047b0262a,Ravi Lucca Caldeira
d3dcf0604eabf0224fbd5948b5e02f69,Isabela Montenegro
6e864f5c4669eff3d98140a07cc50202,Stella Viana
48985c61529077fa4f1e38bcff0f2ed3,Ágatha da Paz
f419677537694f0462a91990df6ca44f,Ana Clara Ramos
213fafb0ca06fb3d5886579c2565791b,Larissa da Costa
62de60d81c55c29d76a6bce418b31cef,Nathan Vasconcelos
bdae679a9b282249bc23b9b69dae9a99,Jade Leão
014d9a685fd57276679edd00e07089e5,Rodrigo Siqueira
ec8463980a4e0ea9f8517aea1ed0c419,Luan Peixoto
fa74b2f3287d296e9fbd2cc80f2d1cf1,Pietro da Luz
5ca5d579b5857ee8709479b1047cecc3,Jade Câmara
1554a68530182680ad5c8b042c3ab563,Beatriz Lima
b7d5b4b87af9d42b601865d3f3810bff,Brayan Rocha
160e4f13fd3a64b1b86807be88b5ffb0,Luan da Mota
bd697db56ff8e7c9cd1abeb7f72029b2,Isabelly Sampaio
4e92348462c75b6c842b994ce84a0ed4,Liam Guerra
77dcbb67ccb3659bd58eaf5661560a30,Melina Oliveira
d58d521f3789def2e7a22715e0badd93,Yuri Lopes
6bef34c5be6f2bbd70aa5165f6df94b1,Leonardo Carvalho
f7c31656c19db6275a8acadca289f426,Maria Cecília Guerra
c8417879a15366a17c30af34c798c332,Pietro Sá
f9d010e39375d9c91dce3f40b73a2f84,Camila Pinto
07de60b03d150fb3ea09eab5da5e4c8b,Rael da Luz
54065e9aef7e9e9c2dc23b7594db021a,Vitória Aragão
52454f90d4c30c016768db02f88c1a74,Igor Aparecida
3a3c180dd702a725bd0ba4117689239e,Davi Luiz Machado
d263fa444c1504a75cbca5cc465f592a,Juliana Lima
c04d70d515d15a7e3db3a73320598566,Giovanna Andrade
d673a59aac7a70d8b01e6902bf090a11,Sophia Cunha
fc906263ca5083d09dce42fe02247800,Bella Alves
2156f2671501a81034d7d07f217609d0,Yago Silva
3cfa1358a6caa965278721344c8d76f2,Thomas Sousa
52ac6f920b7280e4c6d30dd94de6259b,Henry Souza
60da8bfa7eebe230b7d66ac4082d79b3,João Miguel Moraes
e0eabded302882513ced4ea3eb0c7059,Isabela Montenegro
d624126b9206f595fb3fbb6ba03b28a8,Ana Cecília Casa Grande
aded58c8142dedc5494a81f948431fab,Catarina Rezende
bc8c8d665ec4664d286be0d521722b19,Anthony da Rocha
e627629ba868740e287800f1a9be81c2,Manuela Carvalho
3e35a8bb43569389d3cebef0ce820f69,Mirella Pimenta
1c5e4e49b9079480255b49d50aac1aa9,Leandro Siqueira
b1204cfda1d4948679db3cfc0d3cb95c,Ana Liz Lopes
60ad151920c4f6f3ebbe8cfdf6166779,Lorena Sousa
74c7dec0a384d8a05950e629bd23bde9,Levi Andrade
b00af24704019bd2e1b335e70ad11f7c,Luiz Felipe Jesus
b55638ad525e906c698fa2ce742c1742,Cecilia Dias
c4fb51fb1c5b7c07bc5e67be6e7e8f6e,Bruna Lopes
76d336555bb25f3165d2f0d6da719c40,Otávio Brito
ee2fbacc2fc3794e656cc4d933d59ce7,André Cardoso
dd55f1bb788714a40e7954c3be6df745,Maysa Teixeira
58c851d1a3c7cd3da329eb59453fed44,Clarice Machado
6c6cc59a5c00cacc5054ca06d65cc282,Renan Nunes
788f22bafdd7ab0e1e79f19db72f16a4,Felipe Freitas
080199a181c46c657dc5aa235411be3b,Kaique Andrade
659e8466eb3ff1b0e8740d74fb7bbedd,Levi Cavalcante
72431a818f97fe6ab9c81eee3e297e54,Ana Julia Ribeiro
bf0d50a6410d487dc97d2baac0a8c0be,Luiz Henrique Vieira
656591be56071d4c9ef4e5fee78a578a,Luiz Otávio Vargas
a09a13f18ed27932d08438aa6f12756e,Nicole da Paz
615005a3ef192c00c6f0e977cee3d2bc,Ana Liz Nascimento
f5fea3ffed6c2e889bab72705557c63a,Daniel Jesus
cea729054f157f5870bdd321a958d994,Manuela Macedo
cad9969167c09b48ae6f1d123f7fa68d,Yago Barros
ad97a199236354e53fcd91a5a913e9a2,Ravi Lucca Costa
f049a72cf58fd31b11f8919cade515e7,Luiz Gustavo Cavalcante
101a3a003516bc11253298b2fad3cb65,Marina Costela
2a6fbeaa7ab9e5d59a35841a8da71ce4,Luiza Ferreira
7c462184585ae80bd6e5774c62ce50f2,Nicolas Costa
4ddeb3e828550cddc8d45c8bc36ab2d1,Emanuelly Fernandes
98115075dd26cb8835946fc6086f5d30,Isabelly da Costa
7fc87cc3e89b3d1d5cabdca32f8485aa,Jade Santos
3d2531eccfbde1d7c8db7a3a12fb267a,Maria Julia das Neves
f5403d3f50089112c4eed37928b7f622,Emilly Araújo
99a54764c341d5dc80b4a8fac4eba3fb,Hellena Silveira
6624bc09786f0e41ae48dfc5eeb1a9e2,Caio Correia
dd264199fc8b687ad029de7de6d760e6,João Gabriel Cassiano
4f40d2ed38d1cc945364a7cd202a82c7,Cecília Lopes
7b3f6ce5c6c22e9b96e7581ebf0df6e1,Theodoro Pires
f9244d45189d3a3605499abddeade7d5,Heloísa da Conceição
95cca791657aabeff15a07eb152d7841,Anthony Azevedo
ef990a83bbea832f36ebe81376335aa8,Miguel Rodrigues
830379336fad8c6f3b15a4a3ddb5c66e,Manuela da Luz
6edacfd9f9074789dad6d62ba7950b9c,Gael Albuquerque
718539d38d07dd351c76db862760e2e2,Felipe Azevedo
7b1222c3624aa89b9558b50a2594188c,Ravi Lucca Alves
ffeee66ac5d5a62fe688b9d26f83f534,Yago Duarte
c004e5ea15737026cecaee0447e00b75,Gael Lopes
e76ecc7e9a1a1e3c6df9d2a8261c423d,José Miguel Mendonça
28d162ab86bb49d719c32f0ee6186eaa,Yuri Garcia
1dcfa3835714681d4ba4a93bc1e0fd41,Maria Laura Oliveira
8cf21434553b02cbd37c0bbd07e041b0,Ana Laura Porto
2e1a7d075abe038c1b2743005fe42ff1,Rael Borges
eba88037e1dca898cd02881f67ced679,Danilo Rodrigues
a72f15980dc3e9bfd1a49ac9b2f3af65,Luiz Fernando da Conceição
f524ad65d7e0f1daab730ef2d2e86196,Thales da Rocha
ad8ada0ffa993cb1197d102d9ab21a3e,Luna Moraes
827f8f69dfa529c561901c4f2e0f332f,Milena Aragão
78813699ffac347fe27dba345a5f1551,Eduarda Sá
dff87e4de60c9736ce8df835951b09bc,Ana Vitória Gonçalves
c8771b1a10bb99bb34d3c459c5cffb53,Beatriz Alves
9ac75591b69c3402684b6ce0310f22ee,Cauê Porto
5962468f885ea01a1b6a97a218797b0a,Enrico Rezende
11305281b50fff20ae8bb473f8e11876,Isabelly Azevedo
c84592044b180dec206770c38603814b,Maria Julia Ribeiro
